House,TAI,MDR,ADR,LEF,HC,,% Paid,MDR as % of TAI,ADR as % of TAI,LEF as % of TAI,HC as % of TAI
1,9899.3630573248,0,0,604.2420382166,302.0636942675,,0.187022267,0,0,0.119858497,0.06716377
2,10450.9554140127,3090.7420382166,132.5191082803,132.4968152866,302.101910828,,0.350002438,0.295737831,0.012680014,0.012677962,0.028906631
3,8588.5350318471,1435.7834394905,634.0636942675,634.050955414,302.101910828,,0.350001483,0.167174401,0.073826786,0.073825274,0.035175022
4,8942.9936305733,2373.3312101911,265.2165605096,265.2229299363,226.2420382166,,0.349996083,0.265384314,0.029656461,0.029657063,0.025298244
5,6221.6560509554,1608.9777070064,209.4426751592,209.4267515924,149.7707006369,,0.350006143,0.25860941,0.033663317,0.033660934,0.024072482
6,6107.0063694268,0,0,384.4585987261,226.2420382166,,0.1,0,0,0.062953692,0.037046308
7,3989.8089171975,1242.2770700637,2.1687898089,2.178343949,149.7707006369,,0.349990421,0.311362393,0.000543737,0.000545977,0.037538314
8,9830.2547770701,2276.8184713376,468.7356687898,468.7261146497,226.2420382166,,0.349993197,0.231613265,0.047683071,0.04768199,0.02301487
9,6118.7898089172,0,0,373.7961783439,149.7707006369,,0.085567064,0,0,0.061089887,0.024477177
10,5079.6178343949,1319.8057324841,154.1305732484,154.127388535,149.7707006369,,0.34999373,0.259823766,0.030343005,0.03034232,0.029484639
11,9991.4012738854,2389.4140127389,440.6751592357,440.6751592357,226.2420382166,,0.350001594,0.239146884,0.044105594,0.044105441,0.022643674
12,3462.7388535032,807.8503184713,127.1560509554,127.1464968153,149.7707006369,,0.349989883,0.233297851,0.036721463,0.036718477,0.043252092
13,6956.050955414,2060.576433121,73.9331210191,73.9108280255,226.2420382166,,0.35000641,0.296227972,0.010628543,0.010625401,0.032524494
14,6061.4649681529,1512.4649681529,229.6751592357,229.6433121019,149.7707006369,,0.35000683,0.249521524,0.037890865,0.037885777,0.024708664
15,10035.9872611465,2276.8184713376,504.7356687898,504.7643312102,226.2420382166,,0.349996509,0.226865314,0.050292684,0.050295434,0.022543077
16,13416.8789808917,3216.372611465,588.7356687898,588.7261146497,302.101910828,,0.350002136,0.239725839,0.043880228,0.043879513,0.022516556
17,8761.4649681529,2917.5700636943,0,0,302.101910828,,0.367480644,0.333000351,-4.59735E-007,0,0.034480753
18,16815.923566879,2545.0127388535,2212.2993630573,771.5541401274,356.6751592357,,1.049993546,0.492149918,0.311676457,0.165532917,0.080634255
19,24851.2738853503,2006.0286624204,5374.4681528663,960.7643312102,356.7515923567,,0.350002691,0.080721362,0.216265298,0.038660567,0.014355465
20,13037.2611464968,0,0,818.7133757962,302.101910828,,0.085970149,0,0,0.062797958,0.023172191
